review_id,user_id,user_name,product_sys_id,product_id,rating,is_purchased,created_at,content
13,13,Unknown,prd_4d183bfbc6,17704,4,False,2019-11-10T16:26:17.000000Z,Chí nhánh nào ở Hà nội nào gán quận hoàng mai nhất ad
20,19,Trần Anh Duy,prd_4d183bfbc6,17704,4,False,2019-11-11T16:15:47.000000Z,"Máy dùng ổn trong tầm giá
Khi mua hàng nhân viên tư vấn nhiệt tình nhưng còn một số chỗ cần cải thiện hơn"
22,21,Anh Dương,prd_4d183bfbc6,17704,5,False,2019-11-12T03:22:19.000000Z,Máy quá ngon. nhân viên tư vấn nhiệt tình
30,5,Nguyễn Anh Văn,prd_916a7f3f29,12825,5,False,2019-11-12T05:17:45.000000Z,Gọn hàng hơn. Nói chung xứng đáng số tiền bỏ ra. Mình lên đời từ note 9 cũng tiết kiệm
31,24,Unknown,prd_916a7f3f29,12825,5,False,2019-11-12T05:21:43.000000Z,DỊCH VỤ QUÁ TUYỆT VỜI . GIÁ QUÁ TỐT
34,5,Nguyễn Anh Văn,prd_ece8fb6888,18013,5,False,2019-11-12T06:28:29.000000Z,"Giá tốt dịch vụ ổn 
5 sao cho cellphones"
35,5,Nguyễn Anh Văn,prd_bf8114950b,17191,5,False,2019-11-12T06:29:30.000000Z,Camera đẹp. Máy cũng đẹp. Nhìn chung giá tốt
43,29,Unknown,prd_4d183bfbc6,17704,5,False,2019-11-12T13:33:14.000000Z,rất tuyệt vời
44,30,Unknown,prd_4d183bfbc6,17704,5,False,2019-11-12T14:51:37.000000Z,may ngon
45,31,Trần Tấn Thành,prd_4d183bfbc6,17704,4,False,2019-11-13T02:53:35.000000Z,"Máy ngon. ổn trong tầm giá. dùng vnpay được giảm thêm 100k. 
Nhược điểm: hệ điều hành Vos không được ngon. Quét vân tay dưới màn hình hơi lâu. lúc scan vân tay trục đứng thì phải quét mở trục đứng. mở lệch trục tí là khó nhận hoặc không nhận ra.
Máy có mấy app VTool (Vintool) mà không dùng để check bảo hành được. có vẻ trưng cho vui.
Được cái giá mềm so với cấu hình bù lại."
